Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,228.779999,229.720001,226.770004,227.009995,227.009995,4027300
2020-11-23,229.770004,230.500000,228.039993,229.539993,229.539993,3630100
2020-11-24,232.449997,234.990005,231.240005,233.919998,233.919998,4712500
2020-11-25,233.919998,234.000000,232.009995,233.130005,233.130005,3249600
2020-11-27,233.100006,234.169998,230.449997,231.550003,231.550003,1935800
2020-11-30,231.190002,231.289993,228.169998,228.910004,228.910004,5989000
2020-12-01,230.229996,231.979996,229.339996,229.679993,229.679993,4442400
2020-12-02,229.800003,230.589996,228.309998,230.419998,230.419998,4679100
2020-12-03,230.000000,231.500000,228.869995,231.020004,231.020004,4694500
2020-12-04,230.240005,231.889999,230.240005,231.350006,231.350006,4749600
2020-12-07,231.259995,231.259995,228.100006,229.240005,229.240005,4649300
2020-12-08,227.460007,228.740005,226.610001,228.190002,228.190002,4587200
2020-12-09,228.570007,228.899994,226.639999,227.509995,227.509995,4873800
2020-12-10,226.449997,227.869995,225.729996,227.350006,227.350006,4567400
2020-12-11,225.199997,226.729996,224.600006,226.389999,226.389999,4028100
2020-12-14,227.679993,228.059998,222.360001,222.850006,222.850006,6541600
2020-12-15,224.830002,225.860001,222.729996,224.380005,224.380005,5168000
2020-12-16,225.479996,225.479996,221.820007,221.910004,221.910004,7537400
2020-12-17,222.509995,225.020004,221.669998,224.679993,224.679993,7388000
2020-12-18,224.789993,225.199997,221.679993,223.429993,223.429993,20663300
2020-12-21,222.020004,224.199997,221.259995,223.490005,223.490005,7372500
2020-12-22,223.580002,223.750000,221.759995,221.880005,221.880005,6157300
2020-12-23,222.630005,224.910004,222.610001,224.240005,224.240005,4983900
2020-12-24,224.600006,227.130005,224.210007,226.529999,226.529999,2387000
2020-12-28,228.089996,230.149994,227.360001,228.410004,228.410004,3505500
2020-12-29,230.500000,231.100006,229.100006,229.570007,229.570007,3799500
2020-12-30,229.539993,230.589996,229.080002,229.649994,229.649994,3257400
2020-12-31,229.279999,232.279999,228.889999,231.869995,231.869995,4228100
2021-01-04,231.729996,231.869995,226.850006,228.449997,228.449997,7404900
2021-01-05,228.210007,230.100006,226.850006,227.470001,227.470001,5524900
2021-01-06,229.490005,232.679993,227.550003,230.270004,230.270004,9009400
2021-01-07,232.779999,233.960007,231.330002,232.880005,232.880005,4691600
2021-01-08,233.539993,234.600006,231.720001,234.029999,234.029999,4850400
2021-01-11,231.220001,233.919998,231.020004,233.429993,233.429993,3882000
2021-01-12,233.309998,233.979996,231.699997,233.029999,233.029999,5616600
2021-01-13,232.000000,234.949997,231.710007,234.509995,234.509995,3827500
2021-01-14,234.789993,235.699997,233.839996,235.020004,235.020004,4528700
2021-01-15,234.100006,234.589996,231.910004,233.490005,233.490005,5225000
2021-01-19,234.639999,236.240005,231.699997,234.550003,234.550003,5502100
2021-01-20,234.000000,235.199997,233.240005,234.759995,234.759995,4876200
2021-01-21,235.220001,236.199997,234.080002,234.160004,234.160004,4317300
2021-01-22,232.500000,233.830002,232.210007,232.919998,232.919998,4465000
2021-01-25,231.669998,233.520004,230.449997,233.009995,233.009995,5097700
2021-01-26,233.000000,233.500000,231.330002,231.570007,231.570007,3944800
2021-01-27,230.000000,230.000000,226.100006,227.360001,227.360001,8227100
2021-01-28,229.759995,233.509995,228.160004,230.949997,230.949997,5943500
2021-01-29,229.449997,229.970001,227.210007,227.869995,227.869995,6387300
2021-02-01,229.970001,230.500000,228.039993,229.320007,229.320007,4068200
2021-02-02,231.210007,233.429993,230.669998,232.240005,232.240005,5300300
2021-02-03,232.399994,233.160004,231.279999,232.679993,232.679993,3805600
2021-02-04,232.839996,235.910004,232.410004,235.770004,235.770004,4438400
